S.No,Name of City,lat,lng
520,North Lakhimpur,27.2287,94.0947
521,Vinukonda,16.04974,79.74054
522,Tiptur,13.261,76.46573
523,Gobichettipalayam,11.45501,77.43671
524,Sunabeda,18.74299,82.83133
525,Wani,20.05793,78.95201
526,Upleta,21.74217,70.27737
527,Narasapuram,16.44988,81.6992
528,Nuzvid,16.78503,80.85168
529,Tezpur,26.62087,92.79397
530,Una,31.46903,76.27146
531,Markapur,15.73587,79.26917
532,Sheopur,25.67335,76.69655
533,Thiruvarur,10.77342,79.63663
534,Sidhpur,23.91505,72.37292
535,Sahaswan,28.06688,78.74862
536,Suratgarh,29.31049,73.89824
537,Shajapur,23.41999,76.28085
538,Rayagada,19.17323,83.4122
539,Lonavla,18.75427,73.40681
540,Ponnur,16.06621,80.55152
541,Kagaznagar,19.34957,79.48057
542,Gadwal,16.23422,77.79971
543,Bhatapara,21.73328,81.94602
544,Kandukur,17.07798,78.47415
545,Sangareddy,17.62515,78.08236
546,Unjha,23.79869,72.38716
547,Lunglei,22.87654,92.75184
548,Karimganj,24.86013,92.3765
549,Kannur,11.87482,75.37628
550,Bobbili,18.57327,83.35878
551,Mokameh,25.38309,85.90961
552,Talegaon Dabhade,18.73413,73.68334
553,Anjangaon,21.1699,77.30953
554,Mangrol,21.47978,72.97848
555,Sunam,30.12092,75.80908
556,Gangarampur,25.40521,88.52483
557,Thiruvallur,13.12466,79.91844
558,Tirur,10.91458,75.92206
559,Rath,25.59157,79.56909
560,Jatani,20.16545,85.69564
561,Viramgam,23.13332,72.04141
562,Rajsamand,25.05946,73.88316
563,Yanam,16.73042,82.22375
564,Kottayam,9.59476,76.53296
565,Panruti,11.77195,79.55332
566,Dhuri,30.37375,75.86248
567,Namakkal,11.21941,78.16773
568,Kasaragod,12.51143,74.98361
569,Modasa,23.46184,73.29738
570,Rayadurg,14.70261,76.85556
571,Supaul,26.1153,86.59543
572,Kunnamkulam,10.65024,76.07002
573,Umred,20.84891,79.32685
574,Bellampalle,19.07076,79.49254
575,Sibsagar,26.99598,94.60904
576,Mandi Dabwali,29.9596,74.71711
577,Ottappalam,10.77297,76.37801
578,Dumraon,25.55888,84.1461
579,Samalkot,25.38439,82.62466
580,Jaggaiahpet,16.8926,80.09754
581,Goalpara,26.05502,90.6048
582,Tuni,17.36175,82.54631
583,Lachhmangarh,27.82287,75.02593
584,Bhongir,17.51484,78.88389
585,Amalapuram,16.57996,82.00455
586,Firozpur Cantt.,30.92613,74.61398
587,Vikarabad,17.33671,77.90484
588,Thiruvalla,9.39969,76.56459
589,Sherkot,29.32576,78.56875
590,Palghar,19.70023,72.77104
591,Shegaon,20.79561,76.69076
592,Jangaon,17.72323,79.16095
593,Bheemunipatnam,17.88938,83.45031
594,Panna,24.70793,80.17652
595,Thodupuzha,9.89824,76.71397
596,KathUrban Agglomeration,38.89037,-77.03196
597,Palitana,21.52728,71.82319
598,Arwal,25.24546,84.6638
599,Venkatagiri,13.95705,79.59629
600,Kalpi,26.11348,79.73523
601,Rajgarh (Churu),28.63094,75.38221
602,Sattenapalle,16.39396,80.15454
603,Arsikere,13.31432,76.25568
604,Ozar,20.09691,73.92601
605,Thirumangalam,9.82624,77.9903
606,Petlad,22.48044,72.80147
607,Nasirabad,26.30179,74.73408
608,Phaltan,17.9891,74.4301
609,Rampurhat,24.17639,87.79183
610,Nanjangud,12.11665,76.67396
611,Forbesganj,26.30506,87.26925
612,Tundla,27.22743,78.24301
613,BhabUrban Agglomeration,26.25374,85.02945
614,Sagara,32.23537,130.79778
615,Pithapuram,17.11816,82.25621
616,Sira,13.74416,76.90265
617,Bhadrachalam,17.65121,80.90548
618,Charkhi Dadri,28.62905,76.21785
619,Chatra,24.20418,84.8719
620,Palasa Kasibugga,18.75942,84.42007
621,Nohar,29.18701,74.77215
622,Yevla,20.04344,74.48395
623,Sirhind Fatehgarh Sahib,30.63032,76.38966
624,Bhainsa,19.10868,77.96101
625,Parvathipuram,18.78255,83.42688
626,Shahade,21.5352,74.47365
627,Chalakudy,10.30098,76.3333
628,Narkatiaganj,27.10549,84.46712
629,Kapadvanj,23.02084,73.06846
630,Macherla,16.47585,79.43666
631,Raghogarh-Vijaypur,24.47857,77.15361
632,Rupnagar,30.97297,76.53273
633,Naugachhia,25.3918,87.07632
634,Sendhwa,21.68689,75.09854
635,Byasanagar,20.95551,86.12668
636,Sandila,27.06156,80.51036
637,Gooty,15.11943,77.63523
638,Salur,18.51792,83.20156
639,Nanpara,27.86498,81.50242
640,Sardhana,29.14312,77.60821
641,Vita,37.87162,12.82239
642,Gumia,23.80253,85.83415
643,Puttur,12.76191,75.2027
644,Jalandhar Cantt.,31.28888,75.61967
645,Nehtaur,29.32752,78.3851
646,Changanassery,9.45134,76.54525
647,Mandapeta,16.86753,81.9267
648,Dumka,24.26838,87.24887
649,Seohara,29.20498,78.58466
650,Umarkhed,19.6007,77.6883
651,Madhupur,24.27177,86.64406
652,Vikramasingapuram,8.71645,77.39077
653,Punalur,9.01744,76.92628
654,Kendrapara,20.50612,86.42107
655,Sihor,21.71491,71.95731
656,Nellikuppam,12.75247,80.10648
657,Samana,30.14783,76.20578
658,Warora,20.2346,79.01274
659,Nilambur,11.27936,76.23103
660,Rasipuram,11.45827,78.18881
661,Ramnagar,29.3934,79.12606
662,Jammalamadugu,14.83996,78.38824
663,Nawanshahr,31.12446,76.11854
664,Thoubal,24.64331,93.99715
665,Athni,16.72644,75.06556
666,Cherthala,9.69093,76.33775
667,Sidhi,24.21345,81.82594
668,Farooqnagar,17.06807,78.20476
669,Peddapuram,17.08017,82.13674
670,Chirkunda,23.74196,86.79569
671,Pachora,20.66571,75.34589
672,Madhepura,25.91635,86.79344
673,Pithoragarh,29.58519,80.21629
674,Tumsar,21.38422,79.7519
675,Phalodi,27.1201,72.38166
676,Tiruttani,13.08419,79.6591
677,Rampura Phul,30.2724,75.23897
678,Perinthalmanna,10.97089,76.22743
679,Padrauna,26.90166,83.98379
680,Pipariya,22.75387,78.35674
681,Dalli-Rajhara,20.58257,81.07147
682,Punganur,13.36525,78.57073
683,Mattannur,11.93163,75.57214
684,Mathura,27.49193,77.67407
685,Thakurdwara,29.18822,78.8646
686,Nandivaram-Guduvancheri,12.83953,80.04388
687,Mulbagal,13.16388,78.39349
688,Manjlegaon,19.16038,76.20772
689,Wankaner,22.61662,70.95377
690,Sillod,20.3018,75.65222
691,Nidadavole,16.9053,81.67397
692,Surapura,27.71005,73.44611
693,Rajagangapur,22.19256,84.5883
694,Sheikhpura,25.14192,85.86284
695,Parlakhemundi,18.7786,84.09334
696,Kalimpong,27.067,88.47008
697,Siruguppa,15.63057,76.89286
698,Arvi,21.00375,78.22844
699,Limbdi,22.5689,71.80766
700,Barpeta,26.31282,91.00251
701,Manglaur,29.79395,77.87418
702,Repalle,16.01856,80.82873
703,Mudhol,16.33732,75.282
704,Shujalpur,23.40676,76.70911
705,Mandvi,22.8347,69.34785
706,Thangadh,22.58455,71.20479
707,Sironj,24.1019,77.69153
708,Nandura,20.8375,76.461
709,Shoranur,10.75757,76.26935
710,Nathdwara,24.93963,73.82018
711,Periyakulam,10.12356,77.5476
712,Sultanganj,25.24318,86.74446
713,Medak,18.04768,78.26682
714,Narayanpet,16.74752,77.4959
715,Raxaul Bazar,26.98826,84.85499
716,Rajauri,33.36913,74.31664
717,Pernampattu,12.93563,78.71778
718,Nainital,29.39368,79.45178
719,Ramachandrapuram,16.83232,82.03506
720,Vaijapur,19.92509,74.72936
721,Nangal,31.37457,76.37523
722,Sidlaghatta,13.39187,77.86345
723,Punch,33.5505,74.2189
724,Pandhurna,21.59428,78.52693
725,Wadgaon Road,20.36578,78.12507
726,Talcher,20.94748,85.2254
727,Varkala,8.73833,76.71922
728,Pilani,28.36137,75.60037
729,Nowgong,25.06355,79.43825
730,Naila Janjgir,22.01177,82.57615
731,Mapusa,15.59867,73.80953
732,Vellakoil,10.95108,77.71345
733,Merta City,26.65062,74.03732
734,Sivaganga,9.85021,78.4856
735,Mandideep,23.08367,77.52754
736,Sailu,19.45854,76.43424
737,Vyara,21.10816,73.39483
738,Kovvur,17.02285,81.7254
739,Vadalur,11.57031,79.5348
740,Nawabganj,26.94092,81.20257
741,Padra,22.24099,73.08343
742,Sainthia,23.94869,87.68153
743,Siana,28.62607,78.06419
744,Shahpur,22.19706,77.90423
745,Sojat,25.91931,73.67648
746,Noorpur,29.15042,78.40964
747,Paravoor,10.13556,76.23929
748,Murtijapur,20.73659,77.36561
749,Ramnagar,29.3934,79.12606
750,Sundargarh,22.11958,84.04161
751,Taki,34.49613,136.54615
752,Saundatti-Yellamma,15.76666,75.11161
753,Pathanamthitta,9.26457,76.78669
754,Wadi,-31.06504,29.73761
